!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592091&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Achter,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=595918&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Cole,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,36,7,1,1,0,1,0,0,1,.286,.714,.429,.200
,,,Sinker,13,3,1,0,0,1,0,0,0,.333,.333,.000,.500
,,,Change,1,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,11,4,3,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,5,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,5,3,0,0,0,0,0,0,0,.000,.000,.000,.000
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=454560&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Ellis,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,3048,522,110,106,11,97,26,2,14,.266,.404,.138,.314
,,,Sinker,1483,336,37,25,7,76,17,1,7,.301,.420,.119,.322
,,,Change,255,66,17,6,1,5,2,0,2,.136,.258,.121,.149
,,,Slider,1142,254,79,21,0,38,7,0,3,.189,.252,.063,.262
,,,Curve,528,118,22,4,1,26,3,0,0,.246,.271,.025,.302
,,,Cutter,494,97,21,7,2,16,0,0,4,.206,.330,.124,.222
,,,Split,77,25,9,0,1,4,0,0,2,.240,.480,.240,.286
,,,Knuckler,26,6,1,1,0,1,0,0,0,.167,.167,.000,.200
,,,Slow Curve,2,1,0,0,0,0,0,0,0,.000,.000,.000,.000
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=456167&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Griffin,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,30,6,6,1,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,10,2,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,3,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=543362&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Jimenez,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,53,15,3,1,0,1,1,0,0,.133,.200,.067,.167
,,,Sinker,12,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Change,4,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,14,2,1,1,0,1,0,0,0,.500,.500,.000,1.000
